datetime,place,deliveries,is_holiday,weather_condition,temperature,app_clicks,traffic_congestion_level,area_population,income_level
2024-01-01 00:00:00,A,541,True,Sunny,16.95,470,Low,1000000,High
2024-01-01 00:00:00,B,568,True,Cloudy,13.95,321,Moderate,500000,Medium
2024-01-01 00:00:00,C,524,True,Rainy,5.87,287,Moderate,300000,Low
2024-01-01 12:00:00,A,609,True,Sunny,14.76,508,Low,1000000,High
2024-01-01 12:00:00,B,527,True,Snowy,5.01,476,Severe,500000,Medium
2024-01-01 12:00:00,C,696,True,Sunny,11.48,760,Low,300000,Low
2024-01-02 00:00:00,A,292,False,Sunny,5.7,899,Moderate,1000000,High
2024-01-02 00:00:00,B,256,False,Rainy,6.36,762,Low,500000,Medium
2024-01-02 00:00:00,C,148,False,Snowy,12.0,684,Moderate,300000,Low
2024-01-02 12:00:00,A,101,False,Snowy,11.76,473,Severe,1000000,High
2024-01-02 12:00:00,B,81,False,Rainy,5.24,539,Severe,500000,Medium
2024-01-02 12:00:00,C,254,False,Snowy,12.43,234,High,300000,Low
2024-01-03 00:00:00,A,284,False,Sunny,7.73,587,Moderate,1000000,High
2024-01-03 00:00:00,B,202,False,Stormy,8.12,971,High,500000,Medium
2024-01-03 00:00:00,C,290,False,Cloudy,17.63,755,Moderate,300000,Low
2024-01-03 12:00:00,A,240,False,Rainy,10.93,469,High,1000000,High
2024-01-03 12:00:00,B,125,False,Sunny,6.33,926,Low,500000,Medium
2024-01-03 12:00:00,C,267,False,Stormy,9.88,919,Low,300000,Low
2024-01-04 00:00:00,A,210,False,Cloudy,17.43,416,High,1000000,High
2024-01-04 00:00:00,B,252,False,Snowy,13.14,240,High,500000,Medium
2024-01-04 00:00:00,C,132,False,Sunny,6.12,720,Severe,300000,Low
2024-01-04 12:00:00,A,149,False,Snowy,17.23,792,Low,1000000,High
2024-01-04 12:00:00,B,246,False,Stormy,16.57,972,Low,500000,Medium
2024-01-04 12:00:00,C,127,False,Snowy,18.72,400,High,300000,Low
2024-01-05 00:00:00,A,229,False,Snowy,6.43,702,High,1000000,High
2024-01-05 00:00:00,B,127,False,Snowy,15.94,925,Moderate,500000,Medium
2024-01-05 00:00:00,C,331,False,Sunny,10.74,661,Low,300000,Low
2024-01-05 12:00:00,A,91,False,Rainy,13.42,966,High,1000000,High
2024-01-05 12:00:00,B,133,False,Sunny,12.84,214,Moderate,500000,Medium
2024-01-05 12:00:00,C,215,False,Sunny,6.62,774,Severe,300000,Low
2024-01-06 00:00:00,A,243,True,Cloudy,15.43,684,Severe,1000000,High
2024-01-06 00:00:00,B,436,True,Cloudy,13.1,740,Moderate,500000,Medium
2024-01-06 00:00:00,C,235,True,Cloudy,19.14,898,High,300000,Low
2024-01-06 12:00:00,A,403,True,Rainy,7.42,777,High,1000000,High
2024-01-06 12:00:00,B,285,True,Sunny,14.5,845,Moderate,500000,Medium
2024-01-06 12:00:00,C,288,True,Snowy,7.8,997,Moderate,300000,Low
2024-01-07 00:00:00,A,257,True,Rainy,17.11,547,Severe,1000000,High
2024-01-07 00:00:00,B,305,True,Stormy,8.42,832,High,500000,Medium
2024-01-07 00:00:00,C,389,True,Snowy,9.57,909,Moderate,300000,Low
2024-01-07 12:00:00,A,336,True,Cloudy,12.27,424,Low,1000000,High
2024-01-07 12:00:00,B,236,True,Rainy,9.04,863,Low,500000,Medium
2024-01-07 12:00:00,C,275,True,Cloudy,8.28,671,Severe,300000,Low
2024-01-08 00:00:00,A,212,False,Cloudy,5.97,641,Low,1000000,High
2024-01-08 00:00:00,B,139,False,Rainy,8.7,585,High,500000,Medium
2024-01-08 00:00:00,C,157,False,Rainy,9.27,280,Severe,300000,Low
2024-01-08 12:00:00,A,117,False,Stormy,5.5,935,Severe,1000000,High
2024-01-08 12:00:00,B,217,False,Rainy,12.96,929,High,500000,Medium
2024-01-08 12:00:00,C,239,False,Rainy,13.89,638,Moderate,300000,Low
2024-01-09 00:00:00,A,196,False,Snowy,8.63,493,High,1000000,High
2024-01-09 00:00:00,B,162,False,Snowy,19.75,710,Severe,500000,Medium
2024-01-09 00:00:00,C,163,False,Snowy,12.62,663,Severe,300000,Low
2024-01-09 12:00:00,A,286,False,Cloudy,8.3,545,Moderate,1000000,High
2024-01-09 12:00:00,B,219,False,Rainy,17.14,347,Severe,500000,Medium
2024-01-09 12:00:00,C,297,False,Sunny,10.96,750,Low,300000,Low
2024-01-10 00:00:00,A,244,False,Sunny,15.14,672,Moderate,1000000,High
2024-01-10 00:00:00,B,183,False,Rainy,18.16,810,Severe,500000,Medium
2024-01-10 00:00:00,C,184,False,Snowy,13.33,771,Low,300000,Low
2024-01-10 12:00:00,A,182,False,Stormy,6.4,851,Severe,1000000,High
2024-01-10 12:00:00,B,88,False,Snowy,9.18,858,Severe,500000,Medium
2024-01-10 12:00:00,C,229,False,Snowy,11.07,872,High,300000,Low
